grid,revisit_penalty,bias_factor,avg steps to goal,reached goal %,hit obstacle %,steps to goal list
map_environment/map_files/grid_world_1.csv,0.25,0.05,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,0.25,0.05,41.4,1.0,0.0,"[17, 67, 61, 65, 17, 17, 17, 33, 81, 37, 63, 45, 55, 17, 17, 49, 17, 43, 47, 43, 17, 47, 61, 123, 45, 57, 61, 17, 17, 59, 69, 17, 17, 17, 17, 61, 61, 39, 17, 17, 57, 57, 17, 17, 53, 17, 87, 25, 29, 47, 17, 55, 17, 17, 17, 17, 73, 49, 17, 17, 65, 25, 81, 71, 59, 65, 63, 65, 17, 51, 17, 17, 17, 17, 65, 85, 17, 17, 55, 17, 45, 57, 53, 43, 17, 17, 77, 17, 65, 61, 79, 17, 17, 53, 69, 29, 67, 17, 47, 61]"
map_environment/map_files/grid_world_3.csv,0.25,0.05,61.18,1.0,0.0,"[75, 17, 17, 17, 17, 17, 17, 17, 121, 93, 71, 155, 17, 87, 139, 17, 17, 95, 17, 17, 99, 17, 17, 137, 81, 17, 17, 17, 65, 61, 101, 89, 93, 131, 17, 17, 97, 105, 17, 91, 17, 17, 17, 17, 17, 89, 17, 101, 17, 115, 121, 81, 17, 17, 17, 17, 133, 125, 17, 131, 111, 163, 141, 101, 113, 123, 77, 77, 55, 17, 17, 17, 69, 137, 105, 89, 17, 17, 17, 17, 93, 139, 17, 17, 143, 17, 75, 95, 17, 17, 17, 17, 95, 17, 17, 65, 103, 129, 105, 17]"
map_environment/map_files/grid_world_1.csv,0.25,0.06,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,0.25,0.06,40.18,1.0,0.0,"[17, 17, 17, 73, 17, 65, 17, 53, 65, 53, 17, 17, 61, 41, 63, 45, 63, 27, 73, 17, 17, 17, 31, 17, 77, 61, 51, 71, 17, 41, 55, 17, 89, 17, 69, 61, 17, 29, 37, 17, 35, 53, 17, 53, 57, 51, 55, 57, 31, 17, 17, 17, 41, 37, 59, 17, 17, 79, 57, 17, 17, 17, 65, 17, 75, 41, 77, 17, 17, 79, 17, 53, 35, 57, 39, 17, 17, 77, 17, 17, 17, 59, 79, 67, 57, 17, 45, 17, 17, 17, 17, 69, 17, 61, 57, 45, 17, 27, 81, 57]"
map_environment/map_files/grid_world_3.csv,0.25,0.06,58.64,1.0,0.0,"[17, 17, 93, 17, 17, 17, 17, 17, 17, 117, 81, 79, 17, 17, 17, 115, 61, 135, 125, 131, 17, 131, 95, 79, 57, 99, 17, 143, 73, 69, 17, 17, 17, 105, 117, 17, 17, 53, 121, 17, 41, 17, 121, 17, 97, 139, 17, 67, 79, 17, 97, 17, 17, 67, 17, 67, 103, 17, 121, 17, 17, 71, 17, 17, 17, 101, 17, 17, 17, 135, 17, 17, 71, 71, 17, 101, 17, 111, 123, 167, 17, 17, 57, 17, 17, 17, 119, 131, 17, 17, 17, 91, 93, 125, 17, 125, 89, 95, 17, 77]"
map_environment/map_files/grid_world_1.csv,0.25,0.07,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,0.25,0.07,42.1,1.0,0.0,"[49, 17, 45, 27, 17, 47, 35, 43, 97, 59, 17, 17, 17, 59, 77, 17, 41, 17, 75, 17, 43, 17, 17, 17, 25, 63, 65, 37, 41, 37, 47, 17, 61, 41, 63, 27, 17, 17, 17, 35, 17, 17, 49, 89, 51, 61, 71, 61, 17, 59, 29, 73, 51, 17, 75, 17, 55, 49, 71, 47, 39, 17, 25, 75, 25, 105, 17, 69, 63, 17, 49, 47, 45, 47, 39, 73, 61, 17, 83, 51, 17, 17, 53, 17, 39, 17, 59, 47, 71, 67, 17, 17, 25, 47, 17, 25, 61, 53, 57, 53]"
map_environment/map_files/grid_world_3.csv,0.25,0.07,56.8,1.0,0.0,"[17, 17, 107, 101, 17, 117, 17, 65, 17, 57, 17, 17, 131, 17, 17, 95, 17, 17, 17, 17, 17, 147, 17, 83, 75, 103, 139, 127, 17, 17, 17, 17, 17, 121, 17, 137, 99, 17, 73, 17, 107, 99, 17, 17, 17, 17, 125, 17, 151, 17, 97, 105, 17, 113, 17, 85, 105, 131, 17, 109, 17, 103, 17, 17, 17, 17, 85, 17, 17, 165, 17, 17, 17, 17, 85, 77, 17, 17, 17, 53, 17, 17, 17, 91, 139, 17, 115, 17, 73, 129, 17, 17, 113, 17, 17, 103, 141, 125, 127, 17]"
map_environment/map_files/grid_world_1.csv,0.25,0.08,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
