grid,revisit_penalty,bias_factor,avg steps to goal,reached goal %,hit obstacle %,steps to goal list
map_environment/map_files/grid_world_1.csv,0,0,120.1891891891892,0.37,0.0,"[133, 123, 189, 199, 89, 89, 161, 117, 161, 87, 67, 99, 73, 61, 189, 127, 87, 81, 117, 173, 199, 139, 51, 63, 105, 113, 151, 115, 155, 105, 155, 195, 67, 161, 131, 47, 73]"
map_environment/map_files/grid_world_2.csv,0,0,137.66666666666666,0.06,0.0,"[141, 193, 75, 95, 123, 199]"
map_environment/map_files/grid_world_3.csv,0,0,127.0,0.19,0.0,"[117, 157, 85, 189, 65, 101, 99, 121, 115, 89, 169, 199, 89, 181, 63, 187, 193, 53, 141]"
map_environment/map_files/grid_world_1.csv,0,0.08,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,0,0.08,17.0,0.34,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_3.csv,0,0.08,17.0,0.47,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_1.csv,0.3,0,70.23232323232324,0.99,0.0,"[53, 71, 55, 41, 71, 25, 71, 101, 25, 71, 143, 21, 117, 89, 105, 137, 27, 29, 85, 115, 79, 73, 27, 143, 55, 107, 127, 33, 143, 71, 133, 79, 45, 53, 121, 37, 27, 35, 65, 33, 47, 29, 79, 39, 49, 27, 157, 127, 95, 137, 73, 53, 69, 31, 103, 31, 115, 73, 105, 21, 31, 61, 47, 53, 59, 97, 75, 27, 67, 37, 91, 25, 27, 83, 55, 57, 115, 125, 63, 83, 27, 169, 79, 43, 41, 67, 47, 39, 63, 73, 95, 97, 39, 19, 57, 47, 69, 93, 113]"
map_environment/map_files/grid_world_2.csv,0.3,0,70.62,1.0,0.0,"[93, 137, 87, 117, 79, 43, 45, 25, 41, 79, 93, 99, 47, 113, 101, 73, 119, 97, 63, 89, 31, 31, 45, 107, 151, 45, 53, 31, 19, 97, 105, 31, 63, 63, 35, 93, 75, 81, 113, 79, 17, 87, 83, 49, 93, 45, 35, 105, 117, 33, 35, 43, 21, 31, 71, 71, 35, 39, 43, 91, 101, 49, 51, 67, 51, 55, 65, 83, 79, 33, 55, 119, 121, 33, 115, 19, 91, 41, 51, 57, 95, 23, 101, 79, 97, 141, 35, 65, 109, 91, 39, 71, 47, 179, 65, 109, 59, 63, 71, 55]"
map_environment/map_files/grid_world_3.csv,0.3,0,102.02325581395348,0.86,0.0,"[91, 183, 109, 193, 109, 39, 59, 47, 55, 63, 47, 127, 59, 35, 109, 23, 135, 83, 199, 105, 147, 157, 123, 47, 141, 145, 119, 97, 121, 85, 149, 165, 21, 71, 89, 155, 57, 43, 133, 89, 67, 175, 187, 59, 131, 141, 95, 49, 23, 27, 67, 29, 139, 155, 129, 177, 115, 45, 107, 83, 169, 65, 191, 35, 91, 25, 163, 165, 63, 31, 127, 137, 27, 61, 165, 63, 105, 25, 139, 83, 165, 181, 167, 181, 53, 73]"
map_environment/map_files/grid_world_1.csv,0.3,0.08,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,0.3,0.08,37.94,1.0,0.0,"[17, 33, 27, 27, 53, 17, 27, 77, 51, 79, 17, 17, 61, 17, 17, 49, 59, 17, 41, 27, 35, 17, 69, 39, 25, 17, 49, 17, 57, 49, 67, 17, 45, 63, 71, 77, 17, 17, 57, 55, 17, 17, 47, 69, 53, 65, 27, 55, 103, 57, 59, 45, 17, 17, 25, 17, 17, 47, 45, 17, 17, 45, 17, 17, 17, 65, 65, 17, 17, 71, 17, 17, 39, 17, 17, 59, 41, 17, 17, 17, 85, 17, 49, 17, 63, 71, 17, 17, 53, 17, 17, 17, 17, 41, 59, 41, 17, 81, 17, 69]"
